"participant_id","age","sex","society_type","university_degree","education_subject","appear_online_test_2_years","condition","time_question","device_changed_question","browser_changed_question","question_number","answer_correct","cheated_question","cheated_overall","device_changed_overall","browser_changed_overall","test_score","UX_Pragmatic","UX_Hedonic","UX_overall","panas_interested","panas_distressed","panas_excited","panas_upset","panas_strong","panas_guilty","panas_scared","panas_hostile","panas_enthusiastic","panas_proud","panas_irritable","panas_alert","panas_ashamed","panas_inspired","panas_nervous","panas_determined","panas_attentive","panas_jittery","panas_active","panas_afraid","positive_emotion","negative_emotion","self_efficacy","preference_for_message","correct_interpretation","not_noticed","reminded_honesty","determined_not_to_cheat","distracted","stopped_cheating","incentivised_to_look_online","no_impact","focussed_on_solving_questions","neutral_impact","feeling_watched","feeling_uncomfortable","feeling_disappointed","feeling_concerned","feeling_stressed","feeling_silly","feeling_criticised","feeling_sad","feeling_guilty","feeling_panicked","feeling_scared","feeling_worried","feeling_anxious","feeling_nervous","feeling_alerted","feeling_warned","feeling_cautious","feeling_rushed","feeling_annoyed","feeling_threatened","feeling_invaded","feeling_judged","feeling_untrusted","feeling_confused","feeling_bluffed","feeling_wasted","feeling_safe","feeling_relaxed","feeling_aware","feeling_normal","feeling_disciplined","feeling_motivated","feeling_proud","feeling_convinced","positive_views_on_others","negative_views_on_others","neutral_views_on_others","similar_views_on_others"
"P37","20","0","0","0","Social","1-5","Warning","98","0","0","3","0","0","0","0","0","0","0.75","1.5","1.125","4","3","2","1","1","1","1","1","3","1","1","3","1","1","2","3","3","2","2","1","2.3","1.4","3.75","3","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P42","48","0","0","1","Social","1-5","Monitoring","64","0","0","3","0","0","0","0","0","0","0","0.75","0.375","4","4","3","2","2","1","1","1","1","1","2","3","2","2","3","3","3","1","3","2","2.5","1.9","2.125","3","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P40","21","1","1","1","STEM","6-10","Control","105","0","0","3","0","0","0","0","0","0","0","-1.5","-0.75","2","1","1","1","1","1","1","1","1","1","1","3","1","1","1","3","3","1","3","1","1.9","1","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P38","53","1","0","1","Business","11-20","Control","135","0","0","3","0","0","0","0","0","0","-1.75","1","-0.375","4","3","4","3","3","2","2","2","4","3","4","3","1","4","2","4","4","2","3","2","3.6","2.3","2.125","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P39","18","1","1","0","STEM","1-5","Warning","117","0","0","3","1","0","0","0","0","0.5","1.75","1.5","1.625","4","4","4","3","4","1","2","1","4","4","1","1","2","3","4","4","4","4","4","2","3.6","2.4","4","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"P46","36","0","0","1","Arts","1-5","Honor code reminder","38","0","0","3","0","0","0","0","0","0.25","3","2.25","2.625","5","1","2","1","2","1","1","1","3","1","1","5","1","2","1","5","5","1","4","1","3.4","1","3.25","5","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P36","43","0","0","0","Business","1-5","Honor code reminder","156","0","1","3","0","1","1","0","1","0","-0.25","0.5","0.125","4","4","2","1","1","1","1","1","4","2","1","4","1","3","2","3","4","1","3","1","3","1.4","2.75","4","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P41","55","0","0","1","Arts","31 or above","Warning","115","0","0","3","0","0","0","0","0","0","3","1.75","2.375","4","2","3","2","1","2","1","1","3","1","1","4","3","2","4","4","4","2","4","2","3","2","3.25","4","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P49","23","0","0","1","Arts","21-30","Warning","31","0","0","3","0","0","0","0","0","0","-2.5","-1.75","-2.125","2","5","1","4","1","1","5","3","1","1","5","5","5","1","5","3","4","5","4","5","2.3","4.3","2.125","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P44","67","0","0","0","Business","21-30","Monitoring","92","0","0","3","0","0","0","0","0","0","-1.5","0.75","-0.375","4","2","2","2","2","2","1","1","3","1","1","2","2","2","2","3","3","2","4","3","2.6","1.8","3.125","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P43","31","0","0","1","Healthcare","None","Honor code reminder","113","0","0","3","0","0","0","0","0","0","2.75","-0.75","1","5","4","3","2","1","1","2","1","1","1","2","4","1","1","2","5","4","3","2","2","2.7","2","3.875","4","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1"
"P45","23","1","0","0","STEM","1-5","Control","106","0","0","3","0","0","0","0","0","0.25","0.25","-2.25","-1","1","4","1","4","1","2","4","2","1","1","3","3","4","1","2","1","3","2","1","2","1.4","2.9","2.5","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P51","44","1","0","1","Business","6-10","Warning","44","0","0","3","0","0","0","0","0","0","2","-1","0.5","4","3","2","1","2","1","1","1","3","2","2","4","2","3","3","3","4","4","4","2","3.1","2","3.875","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"P48","27","0","1","1","Business","1-5","Honor code reminder","86","0","0","3","0","0","0","0","0","0","2.25","2.5","2.375","5","2","4","1","4","1","1","2","4","4","2","2","1","4","2","3","5","2","5","2","4","1.6","4.5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1"
"P47","50","0","0","1","Business","31 or above","Monitoring","103","0","0","3","0","0","0","0","0","0","1","1.25","1.125","4","4","2","1","2","1","4","1","3","2","2","5","1","3","5","4","5","4","3","4","3.3","2.7","1.75","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P50","34","0","0","1","Healthcare","1-5","Warning","75","0","0","3","0","0","0","0","0","0","0","-0.5","-0.25","3","2","1","1","2","1","1","1","3","2","2","3","1","2","2","2","2","2","2","1","2.2","1.4","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P56","28","0","0","0","Social","1-5","Control","20","0","0","3","0","0","0","0","0","0","2","1.75","1.875","2","2","1","1","2","1","1","1","1","1","1","4","1","1","1","1","1","1","1","1","1.5","1.1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P54","22","0","1","1","Healthcare","11-20","Control","27","0","0","3","0","1","1","0","0","0","2","0.75","1.375","4","1","4","1","3","1","1","1","5","4","2","5","1","3","3","5","5","2","3","1","4.1","1.4","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P59","44","0","0","1","Other","1-5","Control","25","0","0","3","0","0","0","0","0","0","-0.5","0.75","0.125","1","2","1","1","1","1","1","1","1","1","3","4","4","1","1","2","3","2","4","2","1.9","1.8","1.625","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P57","41","0","0","1","STEM","1-5","Monitoring","43","0","0","3","0","0","0","0","0","0","1","0.5","0.75","4","2","3","1","1","1","2","1","3","1","1","4","1","1","4","1","4","4","4","2","2.6","1.9","2.125","2","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P58","37","0","0","0","Healthcare","6-10","Control","69","0","0","3","0","0","0","0","0","0","3","0","1.5","2","2","1","1","1","2","1","1","1","1","2","5","2","1","1","2","5","1","3","1","2.2","1.4","1.25","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P52","53","1","0","1","STEM","11-20","Warning","105","0","0","3","0","0","0","0","0","0","2.25","0","1.125","3","1","2","1","1","1","1","1","3","1","2","1","1","1","1","3","4","1","2","1","2.1","1.1","2.375","3","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P53","41","0","0","1","Business","6-10","Control","106","0","0","3","0","0","0","0","0","0","2.75","-1.5","0.625","3","5","2","4","1","4","4","4","2","1","3","5","5","1","4","3","5","5","5","5","2.8","4.3","2.125","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P55","34","1","0","1","STEM","6-10","Control","86","0","0","3","0","0","0","0","0","0","0","1","0.5","4","2","3","2","1","1","1","1","2","2","2","3","2","2","3","4","3","1","3","2","2.7","1.7","3.25","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P60","21","0","0","1","Social","1-5","Warning","76","0","0","3","0","0","0","0","0","0","-1.75","-1.25","-1.5","4","3","2","3","3","2","2","2","3","3","3","3","3","2","2","3","3","3","3","3","2.9","2.6","2","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P62","50","0","0","1","Arts","1-5","Warning","103","0","0","3","0","0","0","0","0","0.25","0.75","1","0.875","4","1","2","1","2","1","2","2","3","2","1","4","2","1","2","3","3","4","2","1","2.6","1.7","3.125","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P66","36","0","0","1","","None","Honor code reminder","71","0","0","3","0","0","0","0","0","0","0","1.5","0.75","4","1","3","1","2","1","1","1","4","1","1","3","1","1","1","3","3","3","3","1","2.7","1.2","1.875","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P61","29","0","0","0","","11-20","Monitoring","116","0","0","3","0","0","0","0","0","0","1.75","-0.25","0.75","5","4","4","1","1","1","2","1","4","1","3","3","1","1","2","3","4","2","2","2","2.8","1.9","2.625","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0"
"P76","52","0","0","0","STEM","1-5","Warning","50","0","0","3","0","0","1","1","0","0","-3","-0.75","-1.875","1","3","1","1","1","2","1","1","2","1","2","3","3","1","2","2","4","4","1","2","1.7","2.1","1.625","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P64","65","1","0","0","Business","21-30","Monitoring","119","0","0","3","0","0","0","0","0","0.33333333333333","0.75","0.75","0.75","5","4","4","3","1","1","4","2","3","1","2","5","2","3","4","4","5","4","4","4","3.5","3","2.75","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P65","62","0","0","0","Business","1-5","Monitoring","98","0","0","3","0","0","0","0","0","0","0.25","0.5","0.375","4","1","3","2","2","2","2","2","2","2","2","2","2","2","2","2","4","2","4","2","2.7","1.9","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P63","29","0","0","1","Social","6-10","Control","132","0","0","3","0","0","0","0","0","0","0.25","0","0.125","4","1","3","1","3","1","1","1","4","3","1","4","1","2","1","5","3","1","4","1","3.5","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P68","39","0","0","1","Arts","1-5","Monitoring","109","0","0","3","0","0","0","0","0","0","-0.25","0.25","0","4","1","2","1","1","1","1","1","3","1","2","3","1","1","2","3","4","2","4","1","2.6","1.3","2.125","2","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0"
"P79","40","0","1","1","Business","31 or above","Honor code reminder","40","0","0","3","0","1","1","0","0","0","1.75","2","1.875","4","2","4","1","4","1","2","1","5","4","2","3","1","2","1","5","4","3","4","3","3.9","1.7","4.125","3","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P72","31","0","1","0","STEM","1-5","Honor code reminder","88","0","0","3","0","0","0","0","0","0","3","2.5","2.75","4","3","5","2","4","1","2","1","4","3","3","5","1","4","3","4","4","1","5","2","4.2","1.9","4.25","4","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1"
"P73","20","0","0","1","Business","1-5","Monitoring","90","1","0","3","0","1","1","1","0","0","-0.75","-2","-1.375","1","3","2","3","2","2","2","2","1","2","2","2","2","3","2","2","2","3","2","2","1.9","2.3","3.625","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P75","53","0","0","1","Healthcare","None","Honor code reminder","56","0","0","3","0","1","1","0","0","0","-1.75","3","0.625","5","3","5","2","3","2","1","1","4","2","4","4","2","5","1","5","5","2","5","1","4.3","1.9","3.625","4","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P81","48","0","0","1","Business","1-5","Warning","75","0","0","3","0","0","0","0","0","0","0","0.75","0.375","4","1","2","2","1","2","2","1","3","3","1","2","1","3","2","3","4","1","2","2","2.7","1.5","3.75","4","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P80","45","1","0","1","Arts","31 or above","Control","68","0","0","3","0","0","0","0","0","0","1.75","1.25","1.5","4","1","3","1","3","1","1","1","4","3","1","4","1","3","1","4","4","1","3","1","3.5","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P71","59","0","0","0","Social","31 or above","Honor code reminder","114","0","0","3","0","0","0","0","0","0","0.25","0.75","0.5","4","1","3","1","1","1","1","1","4","1","1","5","1","3","1","4","5","1","3","1","3.3","1","3","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"P67","59","1","0","1","Healthcare","6-10","Warning","153","0","0","3","0","0","0","0","0","0.25","-1.75","0","-0.875","4","1","3","1","1","1","1","1","4","1","1","5","1","2","1","5","5","1","5","1","3.5","1","3.375","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"P77","20","0","1","1","Social","11-20","Honor code reminder","96","0","0","3","0","1","1","0","0","0","2.25","-2","0.125","2","2","2","1","1","1","1","1","1","4","3","3","1","1","2","3","3","1","3","1","2.3","1.4","3.875","4","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P84","32","1","0","0","Other","1-5","Honor code reminder","72","0","0","3","0","0","0","0","0","0","2","-0.5","0.75","4","4","4","3","3","1","4","3","4","3","5","5","1","3","4","5","4","4","4","1","3.9","3","2.625","2","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"P74","25","0","0","0","Social","6-10","Control","132","0","0","3","0","0","0","0","0","0","3","-0.5","1.25","4","1","2","1","2","1","1","1","2","1","1","3","1","2","1","2","2","1","1","1","2.1","1","4","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P87","33","1","0","1","Business","None","Honor code reminder","55","0","0","3","0","0","0","0","0","0.25","-2.25","-1.25","-1.75","4","3","2","1","2","1","1","1","3","2","3","3","3","3","1","4","3","3","3","1","2.9","1.8","1.75","4","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P88","21","0","1","1","Healthcare","11-20","Monitoring","45","0","0","3","0","0","0","0","0","0","1.25","-0.75","0.25","4","1","3","1","3","1","1","1","3","3","1","5","1","3","2","4","4","1","4","1","3.6","1.1","3.75","4","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P86","61","0","0","1","Healthcare","None","Honor code reminder","82","0","0","3","0","0","0","0","0","0","0","1.75","0.875","4","4","4","4","2","1","2","3","4","2","4","4","4","2","5","2","2","2","2","3","2.8","3.2","2.5","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P94","30","0","0","1","STEM","None","Control","25","0","0","3","0","0","0","0","0","0","1","1.25","1.125","4","2","4","1","2","1","3","1","4","2","3","5","2","3","5","5","5","5","5","2","3.9","2.5","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P70","26","1","0","1","Social","6-10","Honor code reminder","189","0","0","3","0","0","0","0","0","0.25","-1.5","0.5","-0.5","2","4","3","4","3","2","3","3","4","2","4","4","2","3","4","4","4","3","4","4","3.3","3.3","3.625","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P97","24","0","0","0","STEM","11-20","Monitoring","23","0","0","3","0","0","0","0","0","0","2","-1","0.5","2","1","2","1","1","1","2","2","2","1","1","3","1","1","1","2","3","2","1","1","1.8","1.3","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P82","45","0","0","1","Healthcare","1-5","Control","133","0","0","3","0","1","1","0","0","0","1.25","0.75","1","4","1","2","1","2","1","1","1","3","3","1","3","1","2","1","4","3","1","3","1","2.9","1","3.375","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P92","20","0","0","1","Social","21-30","Monitoring","66","0","0","3","0","0","0","0","0","0","1.75","-1.25","0.25","4","2","2","3","3","1","1","1","3","2","2","3","3","4","2","4","4","1","2","1","3.1","1.7","3.75","3","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P89","21","0","0","1","Other","21-30","Control","93","0","0","3","0","0","0","0","0","0","1.25","-0.75","0.25","3","1","1","1","1","1","1","1","1","1","2","1","1","1","1","2","3","1","1","1","1.5","1.1","2.375","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P78","57","0","0","1","Healthcare","6-10","Honor code reminder","186","0","0","3","0","0","0","0","0","0","-0.75","0.75","0","5","2","3","1","1","2","2","1","3","1","1","5","5","2","5","4","5","3","5","4","3.4","2.6","2","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P102","30","1","0","1","STEM","1-5","Warning","22","0","0","3","0","0","0","0","0","0","-0.5","-1","-0.75","4","3","3","2","3","2","2","2","2","2","2","3","2","4","5","3","4","4","3","2","3.1","2.6","2.75","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P100","23","0","0","1","Arts","1-5","Control","37","0","0","3","0","0","0","0","0","0","1","-0.5","0.25","4","5","3","4","1","2","1","1","1","1","1","5","3","1","3","3","5","5","2","2","2.6","2.7","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P90","31","1","0","0","Business","1-5","Warning","100","0","0","3","0","0","0","0","0","0","2.5","0.25","1.375","2","2","1","3","1","1","2","2","1","1","2","2","2","1","2","1","2","2","1","2","1.3","2","4.125","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P104","39","0","0","1","Social","1-5","Control","30","0","0","3","0","0","0","0","0","0","-2.25","0","-1.125","4","3","2","3","2","3","1","1","3","2","3","4","2","2","3","3","5","4","3","1","3","2.4","2.25","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P96","59","0","0","0","STEM","21-30","Control","74","0","0","3","0","0","0","0","0","0","-1.5","1","-0.25","4","1","1","1","1","1","1","1","4","3","1","4","1","3","3","4","4","1","3","1","3.1","1.2","3.25","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P112","27","0","0","1","Healthcare","1-5","Warning","4","0","0","3","0","0","0","0","0","0","-0.75","1","0.125","3","1","3","2","3","2","1","1","3","2","1","3","1","4","3","3","4","1","3","2","3.1","1.5","2.625","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P69","47","0","0","1","Business","1-5","Monitoring","256","0","0","3","0","0","0","0","0","0","1.5","0.75","1.125","4","4","3","1","3","2","2","1","4","3","1","3","2","3","4","4","4","4","4","2","3.5","2.3","3.375","4","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P85","26","0","0","1","Business","1-5","Warning","167","0","0","3","0","1","1","0","0","0","0.75","-0.25","0.25","3","4","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.2","1.3","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P108","27","0","0","1","Arts","1-5","Monitoring","57","0","0","3","0","0","0","0","0","0","0","-3","-1.5","1","3","2","2","2","2","3","1","2","2","2","4","1","2","4","4","2","3","2","2","2.3","2.3","3.125","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"P83","52","0","0","0","","None","Monitoring","232","0","0","3","0","0","0","0","0","0.25","1.5","0","0.75","4","2","2","1","1","2","1","1","3","1","1","3","1","1","1","3","2","1","1","1","2.1","1.2","2","2","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P113","26","0","1","1","STEM","21-30","Honor code reminder","51","0","0","3","0","0","0","0","0","0","1.25","2","1.625","5","3","4","1","2","1","2","1","5","4","3","4","2","4","3","5","5","1","4","2","4.2","1.9","3.75","4","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"P95","33","0","0","0","Business","1-5","Warning","129","0","0","3","0","0","0","0","0","0","-1","3","1","5","2","5","1","3","1","2","1","4","3","2","4","1","4","1","4","5","3","4","1","4.1","1.5","3.5","4","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P103","43","0","0","1","Arts","1-5","Warning","90","0","0","3","0","0","0","0","0","0","2.25","-1.75","0.25","4","4","3","2","1","1","3","1","2","1","2","3","2","1","4","2","5","4","4","3","2.6","2.6","1","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"P99","33","0","0","1","Healthcare","1-5","Monitoring","126","0","0","3","0","0","0","0","0","0","1.75","0","0.875","3","1","2","2","2","1","1","1","3","2","1","2","1","1","2","3","3","1","1","1","2.2","1.2","2.125","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
